timestamp,x,y,z
2025-09-23T16:30:17.873224,0.18903299,-9.782457,0.6729814
2025-09-23T16:30:17.953274,0.29132617,-9.763314,0.6801598
2025-09-23T16:30:18.147972,0.33439696,-9.759726,0.6125626
2025-09-23T16:30:18.345410,0.31166515,-9.771689,0.58683974
2025-09-23T16:30:18.543967,0.4127619,-9.742377,0.59700924
2025-09-23T16:30:18.873728,0.1052842,-9.785448,0.66999036
2025-09-23T16:30:18.930846,0.4941179,-9.729217,0.69571316
2025-09-23T16:30:19.143499,0.27218357,-9.834501,0.90807617
2025-09-23T16:30:19.331731,-0.011365907,-9.926624,0.4432704
2025-09-23T16:30:19.527873,-0.6161518,-9.400204,0.7477571
2025-09-23T16:30:19.876948,0.116650105,-9.94158,0.2865405
2025-09-23T16:30:19.918645,-0.055633128,-9.742975,0.19920248
2025-09-23T16:30:20.125541,0.05383851,-9.865608,0.4325027
2025-09-23T16:30:20.384219,-0.13220344,-9.777073,0.51864433
2025-09-23T16:30:20.511190,0.17587246,-9.745368,0.8452646
2025-09-23T16:30:20.877780,0.29790643,-9.82493,0.5168497
2025-09-23T16:30:20.907183,0.12562318,-9.742975,0.82971126
2025-09-23T16:30:21.111866,0.23629123,-9.766306,0.64247286
2025-09-23T16:30:21.387035,0.34037903,-9.759128,0.5246264
2025-09-23T16:30:21.502328,0.27038896,-9.77827,0.5557331
2025-09-23T16:30:21.880195,0.31166515,-9.747163,0.587438
2025-09-23T16:30:21.890780,0.23928227,-9.758529,0.5665008
2025-09-23T16:30:22.096880,0.32662028,-9.763314,0.68494546
2025-09-23T16:30:22.376077,0.22492532,-9.794421,0.66999036
2025-09-23T16:30:22.483738,0.21834506,-9.750752,0.7304091
2025-09-23T16:30:22.873693,0.19202402,-9.767502,0.67118675
2025-09-23T16:30:22.882586,0.15672988,-9.765109,0.69272214
2025-09-23T16:30:23.085849,0.15792629,-9.740582,0.7082755
2025-09-23T16:30:23.375265,0.26021945,-9.779466,0.62871414
2025-09-23T16:30:23.473515,0.16749759,-9.786645,0.61435723
2025-09-23T16:30:23.871715,0.15194423,-9.7704935,0.7579266
2025-09-23T16:30:23.882708,0.12801601,-9.786645,0.7375876
2025-09-23T16:30:24.072630,0.09272188,-9.756136,0.68494546
2025-09-23T16:30:24.412496,0.27936205,-9.768699,0.58983076
2025-09-23T16:30:24.645197,0.26021945,-9.763913,0.5808577
2025-09-23T16:30:24.656490,0.2434697,-9.760324,0.65084773
2025-09-23T16:30:24.860800,0.23090738,-9.772287,0.6095716
2025-09-23T16:30:25.055551,0.13758731,-9.769895,0.62811595
2025-09-23T16:30:25.248404,0.17766708,-9.771689,0.62093747
2025-09-23T16:30:25.445790,0.18005991,-9.774082,0.5844469
2025-09-23T16:30:25.648018,0.15314065,-9.772287,0.59940207
2025-09-23T16:30:25.845756,0.16390835,-9.764511,0.587438
2025-09-23T16:30:26.125863,0.19381863,-9.769895,0.58564335
2025-09-23T16:30:26.426502,0.18125631,-9.771689,0.5796613
2025-09-23T16:30:26.610808,0.12323037,-9.747163,0.62871414
2025-09-23T16:30:26.815089,0.20458634,-9.778868,0.65682983
2025-09-23T16:30:27.011435,0.13758731,-9.772287,0.70289165
