timestamp,x,y,z
2025-09-23T17:04:45.509866,0.16749759,-9.762118,-0.4881358
2025-09-23T17:04:45.512897,0.21655045,-9.726226,-0.52283174
2025-09-23T17:04:45.512958,0.064008005,-9.742377,-0.5246264
2025-09-23T17:04:45.512981,0.064008005,-9.753145,-0.5371887
2025-09-23T17:04:45.513001,0.050847482,-9.739387,-0.5629115
2025-09-23T17:04:45.513020,0.098703936,-9.747163,-0.5599205
2025-09-23T17:04:45.513038,0.04965107,-9.740582,-0.5557331
2025-09-23T17:04:45.513055,0.013160525,-9.7501545,-0.613759
2025-09-23T17:04:45.513073,-0.047856454,-9.744172,-0.6047859
2025-09-23T17:04:45.513090,-0.05623133,-9.727423,-0.61854464
2025-09-23T17:04:45.513107,-0.10229317,-9.732208,-0.55692947
2025-09-23T17:04:45.513125,0.18544376,-9.747163,-0.587438
2025-09-23T17:04:45.513142,-0.09212367,-9.732806,-0.5563313
2025-09-23T17:04:45.513159,0.09750752,-9.741181,-0.5401797
2025-09-23T17:04:45.513177,0.0317049,-9.745368,-0.51206404
2025-09-23T17:04:46.234330,0.12143575,-9.759726,-0.4971089
2025-09-23T17:04:46.237847,0.15732808,-9.747163,-0.49651068
2025-09-23T17:04:46.237917,0.13339986,-9.73819,-0.47856453
2025-09-23T17:04:46.237939,0.15553348,-9.741779,-0.4755735
2025-09-23T17:04:53.263736,0.12143575,-9.7609215,-0.47976094
2025-09-23T17:04:53.264270,0.12622139,-9.7501545,-0.49112684
2025-09-23T17:04:53.264313,0.11066805,-9.762118,-0.47976094
2025-09-23T17:04:53.264335,0.06759724,-9.763314,-0.44805604
2025-09-23T17:04:53.264354,0.055633128,-9.7399845,-0.41156548
2025-09-23T17:04:53.264372,0.2536392,-9.876375,-0.20578274
2025-09-23T17:04:53.264389,0.24765715,-9.583853,-0.50069815
2025-09-23T17:04:53.264408,0.21834506,-9.70828,-0.4977071
2025-09-23T17:04:53.264425,0.549751,-9.792028,-0.590429
2025-09-23T17:04:53.264442,0.4636094,-10.00798,-0.19501504
