timestamp,x,y,z
2025-09-18T05:06:32.742050,-2.2725832,-9.526425,0.29790643
2025-09-18T05:06:32.749960,-2.1008983,-9.561719,0.22552353
2025-09-18T05:06:32.750003,-2.076372,-9.522238,0.2416751
2025-09-18T05:06:32.750023,-2.0985055,-9.560523,0.2105684
2025-09-18T05:06:32.750041,-2.0673988,-9.560523,0.15792629
2025-09-18T05:06:32.750067,-2.0458634,-9.549755,0.19920248
2025-09-18T05:06:32.750089,-2.1445673,-9.539586,0.24765715
2025-09-18T05:06:32.750104,-2.2342982,-9.52822,0.22492532
2025-09-18T05:06:32.750134,-2.193022,-9.533006,0.23330021
2025-09-18T05:06:32.750150,-2.2767708,-9.500702,0.24047868
2025-09-18T05:06:43.923806,-2.2785654,-9.51147,0.27996024
2025-09-18T05:06:43.923883,-2.2127628,-9.538987,0.27876383
2025-09-18T05:06:43.923927,-2.199004,-9.5252285,0.28594232
2025-09-18T05:06:43.923966,-2.155335,-9.531211,0.25962126
2025-09-18T05:06:43.924003,-2.2474587,-9.510274,0.29192436
2025-09-18T05:06:43.924040,-2.288735,-9.516255,0.30388847
2025-09-18T05:06:43.924077,-2.193022,-9.533604,0.3062813
2025-09-18T05:06:43.924113,-2.423331,-9.518648,0.360718
2025-09-18T05:06:43.924149,-2.009971,-9.640084,0.26739794
2025-09-18T05:06:43.924185,-2.55374,-9.549157,0.10707881
2025-09-18T05:06:43.924221,-2.4251258,-9.324232,0.05383851
2025-09-18T05:06:43.924257,-2.484348,-9.495318,0.055633128
2025-09-18T05:06:43.924292,-1.7102699,-9.577272,0.3499503
2025-09-18T05:06:43.924328,-1.8747765,-9.632906,0.27756742
2025-09-18T05:06:43.924364,-2.1888344,-9.5455675,0.40737805
2025-09-18T05:06:43.924400,-1.9076779,-9.52822,0.34097722
2025-09-18T05:06:43.924437,-1.8945173,-9.59163,0.21954148
2025-09-18T05:06:43.924472,-2.079961,-9.556335,0.24945176
2025-09-18T05:06:43.924508,-2.0231316,-9.5760765,0.21595225
2025-09-18T05:06:43.924544,-2.0817556,-9.576674,0.22313072
2025-09-18T05:06:43.924580,-1.8945173,-9.590433,0.18903299
2025-09-18T05:06:43.924615,-1.9034904,-9.592228,0.18664017
2025-09-18T05:06:43.924661,-1.881955,-9.588638,0.17288144
2025-09-18T05:06:43.924697,-1.8388842,-9.600603,0.15732808
2025-09-18T05:06:43.924733,-1.8442681,-9.598808,0.119042926
2025-09-18T05:06:43.924925,-1.8669999,-9.583255,0.15014961
2025-09-18T05:06:43.924956,-1.8771694,-9.602996,0.15074782
2025-09-18T05:06:43.924974,-1.9884356,-9.580862,0.2111666
2025-09-18T05:06:43.924991,-2.0721843,-9.58146,0.36789647
2025-09-18T05:06:43.925007,-2.4005992,-9.424132,0.53180486
2025-09-18T05:06:43.925022,-2.8552356,-9.148359,0.58624154
2025-09-18T05:06:43.925046,-3.3750763,-9.23809,0.6047859
2025-09-18T05:06:43.925061,-3.8386858,-8.993423,0.12861422
2025-09-18T05:06:43.925076,-4.9860444,-8.666205,0.32123643
