timestamp,x,y,z
2025-09-23T17:11:04.881605,0.27038896,9.772287,-0.74895346
2025-09-23T17:11:04.902457,0.1794617,9.812965,-0.7848458
2025-09-23T17:11:04.925055,0.062213387,9.767502,-0.782453
2025-09-23T17:11:04.938445,-0.0071784677,9.753145,-0.7298109
2025-09-23T17:11:04.957191,-0.009571291,9.707682,-0.70588267
2025-09-23T17:11:04.977589,-0.031106694,9.738789,-0.80159557
2025-09-23T17:11:04.994043,-0.05503492,9.805787,-0.8662018
2025-09-23T17:11:05.018478,0.02632105,9.822537,-0.8327023
2025-09-23T17:11:05.032624,0.17706887,9.8321085,-0.7537391
2025-09-23T17:11:05.051398,0.25603202,9.779466,-0.73459655
2025-09-23T17:11:05.073953,0.3469593,9.750752,-0.77766734
2025-09-23T17:11:05.096409,0.37088752,9.767502,-0.81834537
2025-09-23T17:11:05.106722,0.38763726,9.767502,-0.76570326
2025-09-23T17:11:05.131449,0.36610186,9.79143,-0.74416786
2025-09-23T17:11:05.147859,0.21535404,9.757931,-0.8063812
2025-09-23T17:11:05.163027,0.10289137,9.712467,-0.8997013
2025-09-23T17:11:05.184370,0.0526421,9.669396,-0.9068798
2025-09-23T17:11:05.204191,0.0047856453,9.724431,-0.8542377
2025-09-23T17:11:05.225399,0.019142581,9.784252,-0.7704889
2025-09-23T17:11:05.238924,0.09332009,9.79143,-0.71306115
2025-09-23T17:11:05.260008,0.2009971,9.810573,-0.7537391
2025-09-23T17:11:05.277006,0.28953153,9.779466,-0.7968099
2025-09-23T17:11:05.294713,0.32542387,9.700503,-0.782453
2025-09-23T17:11:05.314972,0.36131623,9.693324,-0.7968099
2025-09-23T17:11:05.335868,0.3397808,9.736395,-0.7680961
2025-09-23T17:11:05.350969,0.3062813,9.781859,-0.72502524
2025-09-23T17:11:05.373430,0.25842485,9.827323,-0.70348984
2025-09-23T17:11:05.389828,0.2943172,9.74836,-0.6987042
2025-09-23T17:11:05.408691,0.23688944,9.77468,-0.70348984
2025-09-23T17:11:05.428381,0.1363909,9.789038,-0.6580262
2025-09-23T17:11:05.450788,0.14596218,9.815358,-0.6723832
2025-09-23T17:11:05.464307,0.19621146,9.844072,-0.74895346
2025-09-23T17:11:05.485799,0.17228323,9.829716,-0.73459655
2025-09-23T17:11:05.507486,0.19142582,9.820144,-0.7298109
2025-09-23T17:11:05.521774,0.27756742,9.793823,-0.7585248
2025-09-23T17:11:05.539556,0.34217364,9.736395,-0.7537391
2025-09-23T17:11:05.562042,0.35653058,9.705289,-0.7178468
2025-09-23T17:11:05.592306,0.36370903,9.700503,-0.80877405
2025-09-23T17:11:05.594990,0.3900301,9.688539,-0.89730847
2025-09-23T17:11:05.614404,0.2727818,9.693324,-0.9164511
2025-09-23T17:11:05.634281,0.21296121,9.674182,-0.7896315
2025-09-23T17:11:05.651421,0.1268196,9.729217,-0.66999036
2025-09-23T17:11:05.674552,0.09332009,9.789038,-0.65324056
2025-09-23T17:11:05.694672,-0.023928227,9.848858,-0.715454
2025-09-23T17:11:05.917368,-0.148355,9.829716,-0.75613195
